mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
17	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	117		articMarcatoAbove						
18	16	46	46	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	118		articMarcatoAbove						
18	16	46	46	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	119		articMarcatoAbove						
19	16	48	48	0.0	0	1/2	Dynamic	3/4	1	1	0				f							
19	16	48	48	1.0	0	1/2	Chord	3/4	1	1	1/4	1/4	1	120						4		
19	16	48	48	0.5	0	1/2	Chord	3/4	2	1	1/8	1/8	1	121								
19	16	97/2	97/2	0.5	1/8	5/8	Chord	3/4	2	1	1/8	1/8	1	122								
20	17	49	49	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	123								
20	17	199/4	199/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	124								
20	17	50	50	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	125		articMarcatoAbove						
20	17	51	51	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	126		articMarcatoAbove						
20	17	49	49	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	127								
20	17	199/4	199/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	128								
20	17	50	50	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	129		articMarcatoAbove						
20	17	51	51	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	130		articMarcatoAbove						
21	18	52	52	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	131		articMarcatoAbove						
21	18	53	53	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	132		articMarcatoAbove						
21	18	54	54	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	133						5		
21	18	54	54	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	134								
21	18	109/2	109/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	135								
21	18	52	52	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	136		articMarcatoAbove						
21	18	53	53	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	137		articMarcatoAbove						
21	18	54	54	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	138								
21	18	109/2	109/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	139								
22	19	55	55	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	140								
22	19	223/4	223/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	141								
22	19	56	56	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	142		articMarcatoAbove						
22	19	57	57	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	143		articMarcatoAbove						
