mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin
21	20	155/2	155/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	280								30	
21	20	78	78	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	281									
21	20	80	80	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	282								33	
21	20	77	77	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	283									
21	20	78	78	2.0	1/4	1/4	Chord	4/4	1	2	1/2		1/2	1	284									
21	20	80	80	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	285									
21	20	77	77	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	286								32	5
21	20	78	78	0.0	1/4	1/4	Spanner	4/4	2	1	0													
21	20	78	78	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	287									
21	20	78	78	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	288								34	
21	20	157/2	157/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	289								34	
21	20	79	79	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	290								34	
21	20	159/2	159/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	291								34	
21	20	80	80	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	292								34	
21	20	161/2	161/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	293								34	
22	21	81	81	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	294								33	
22	21	83	83	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	295									
22	21	167/2	167/2	0.0	5/8	5/8	Spanner	4/4	1	1	0													6
22	21	167/2	167/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	296								35	6
22	21	84	84	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	297								35	6
22	21	169/2	169/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	298								35	6
22	21	82	82	3.0	1/4	1/4	Chord	4/4	1	2	3/4		1/2	3/2	299									6
22	21	81	81	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	300									
22	21	82	82	3.0	1/4	1/4	Chord	4/4	2	1	3/4		1/2	3/2	301									
22	21	81	81	4.0	0	0	Chord	4/4	2	2	1		1	1	302									
23	22	85	85	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	303								35	6
23	22	171/2	171/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	304									6
23	22	86	86	0.0	1/4	1/4	Spanner	4/4	1	1	0													
23	22	86	86	1.5	1/4	1/4	Chord	4/4	1	1	3/8		1/4	3/2	305									
23	22	175/2	175/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	306								36	
23	22	88	88	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	307								36	
23	22	177/2	177/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	308								36	
23	22	86	86	3.0	1/4	1/4	Chord	4/4	1	2	3/4		1/2	3/2	309									
23	22	85	85	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	310									
23	22	86	86	0.0	1/4	1/4	StaffText	4/4	2	1	0						ritardando							
23	22	86	86	3.0	1/4	1/4	Chord	4/4	2	1	3/4		1/2	3/2	311									
24	23	89	89	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	312								36	
24	23	179/2	179/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	313									
24	23	90	90	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	314								37	
24	23	181/2	181/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	315								37	
24	23	91	91	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	316								37	
24	23	183/2	183/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	317									
24	23	92	92	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	318								38	
24	23	185/2	185/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	319								38	
24	23	89	89	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	320									
24	23	90	90	2.0	1/4	1/4	Chord	4/4	1	2	1/2		1/2	1	321									
24	23	92	92	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	322									
24	23	89	89	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	323									
24	23	90	90	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	324									
24	23	92	92	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	325									
24	23	185/2	185/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	326									
24	23	90	90	2.0	1/4	1/4	Chord	4/4	2	2	1/2		1/2	1	327									
24	23	90	90	0.5	1/4	1/4	Chord	4/4	2	3	1/8		1/8	1	328								39	
24	23	181/2	181/2	0.5	3/8	3/8	Chord	4/4	2	3	1/8		1/8	1	329								39	
24	23	91	91	1.0	1/2	1/2	Chord	4/4	2	3	1/4		1/4	1	330									
25	24	93	93	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	331								38	
25	24	187/2	187/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	332									
25	24	94	94	0.0	1/4	1/4	Dynamic	4/4	1	1	0					p								
25	24	94	94	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	333								40	
25	24	189/2	189/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	334								40	
25	24	95	95	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	335									
25	24	93	93	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	336									
25	24	94	94	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	337									
25	24	95	95	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	338									
25	24	93	93	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	339									
25	24	94	94	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	340									
25	24	95	95	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	341									
25	24	94	94	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	342									
25	24	189/2	189/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	343									
